"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"1","TSPAN6",1365,1865,1627,1583,1526
"2","TNMD",0,0,0,0,0
"3","DPM1",3396,2927,2843,2828,2748
"4","SCYL3",572,595,563,442,413
"5","C1orf112",867,248,221,211,289
"6","FGR",2,5,2,2,2
"7","CFH",498,1517,2790,1167,912
"8","FUCA2",7555,4316,4149,5008,4813
"9","GCLC",968,1150,2530,647,982
"10","NFYA",2922,1554,1518,1293,2085
"11","STPG1",1537,716,604,457,829
"12","NIPAL3",8927,5077,5729,2746,6022
"13","LAS1L",2991,1938,1882,1526,1771
"14","ENPP4",60,80,44,84,22
"15","SEMA3F",832,1169,220,550,1249
"16","CFTR",0,8,2,0,2
"17","ANKIB1",6334,5700,5365,4474,5214
"18","CYP51A1",1047,878,893,848,849
"19","KRIT1",713,705,540,577,510
"20","RAD52",711,657,502,490,339
"22","BAD",1157,1202,1083,792,767
"23","LAP3",4596,5601,5251,4142,4042
"24","CD99",0,2,0,1,0
"26","HS3ST1",0,0,0,0,0
"27","AOC1",0,6,0,0,0
"28","WNT16",356,133,337,183,946
"29","HECW1",568,355,89,362,79
"30","MAD1L1",2912,1535,1865,1267,1754
"31","LASP1",44285,29859,36115,27060,37932
"32","SNX11",1356,1302,1591,1021,1290
"33","TMEM176A",0,18,0,2,0
"34","M6PR",6558,6307,6290,5029,5315
"35","KLHL13",28,50,70,14,4
"36","CYP26B1",60,2146,30,80,10
"37","ICA1",0,10,8,0,3
"38","DBNDD1",136,207,138,45,18
"39","ALS2",3233,3474,3076,2907,3688
"40","CASP10",458,669,194,358,12
"41","CFLAR",4527,7102,4757,4629,4496
"42","TFPI",3185,2059,3451,1268,673
"43","NDUFAF7",924,930,813,858,752
"44","RBM5",5264,5546,3868,4143,3503
"45","MTMR7",82,73,63,44,50
"46","SLC7A2",0,0,26,2,0
"47","ARF5",6255,5410,4340,4840,5100
"48","SARM1",365,401,416,277,379
"49","POLDIP2",9583,6241,5971,5242,6256
"50","PLXND1",13835,6629,17791,7939,12422
"51","AK2",7029,5208,4887,4489,5664
"52","CD38",2,0,6,0,4
"53","FKBP4",2665,2591,2313,1784,2782
"54","KDM1A",5423,3601,3741,3173,5015
"55","RBM6",4626,5848,4005,4088,3469
"56","CAMKK1",1758,296,730,543,1814
"57","RECQL",5507,3641,3797,3150,3378
"58","VPS50",1430,1325,1166,1141,1200
"59","HSPB6",5776,4722,8339,4652,1139
"60","ARHGAP33",1188,235,141,215,332
"61","NDUFAB1",2675,2344,2506,1688,2420
"62","PDK4",2,32,0,15,2
"63","SLC22A16",0,0,0,0,0
"64","ZMYND10",93,53,39,41,23
"65","ABCB5",0,0,2,0,2
"66","ARX",0,0,0,0,0
"67","SLC25A13",1131,677,734,680,768
"68","ST7",828,1308,710,706,578
"69","ST7-OT3",828,1308,710,706,578
"70","CDC27",9369,5614,6229,4964,6167
"71","SLC4A1",0,0,0,0,0
"72","CALCR",0,0,0,0,0
"73","HCCS",2047,2399,2070,1428,1643
"74","DVL2",5420,6003,4268,3745,3840
"75","PRSS22",0,0,0,0,0
"76","UPF1",10133,8421,8160,6710,5431
"77","SKAP2",3372,2516,1809,1698,712
"78","SLC25A5",10693,5250,5814,4962,7024
"79","MCUB",2399,1610,1323,1261,936
"80","HOXA11",775,497,375,648,41
"81","POLR2J",4790,3418,3212,2792,3154
"82","DHX33",2976,1563,1235,1204,1664
"83","MEOX1",4,0,2,0,4
"84","THSD7A",64,8,9,8,0
"85","LIG3",1741,979,1033,945,1583
"86","RPAP3",2195,1771,1690,1435,2001
"87","ACSM3",8,7,5,2,5
"88","REXO5",921,211,191,190,187
"89","CIAPIN1",2102,2046,2105,1399,1887
"90","SPPL2B",2176,2168,1761,1698,1781
"91","FAM214B",3913,2732,2913,1893,3232
"92","COPZ2",7669,9564,9800,7040,6980
"93","PRKAR2B",1385,312,177,320,245
"94","MSL3",1727,1540,1600,1401,1689
"95","CREBBP",6711,7636,5212,5035,5002
"96","TSPOAP1",565,78,34,448,352
"97","MPO",0,2,0,0,2
"98","PON1",0,0,0,0,0
"99","GCFC2",929,765,474,579,546
"100","WDR54",1413,607,528,508,567
"101","CROT",1089,1019,864,693,773
"102","ABCB4",73,64,62,50,312
"103","KMT2E",4059,3821,3028,2854,3755
"104","RHBDD2",2782,2050,2723,2119,1866
"105","SOX8",48,14,2,16,2
"106","IBTK",5954,5524,5136,4618,5889
"107","ZNF195",965,595,703,715,855
"108","MYCBP2",6771,7853,9493,8494,6212
"109","FBXL3",3237,2910,2192,2310,2385
"110","ITGAL",6,0,5,8,8
"111","PDK2",1068,1146,954,918,794
"112","ITGA3",19445,3450,8908,4037,15438
"113","ZFX",1871,2156,1526,1590,1629
"114","LAMP2",16205,21857,18968,16852,17799
"115","ITGA2B",8,2,2,10,4
"116","ASB4",0,0,0,0,0
"117","GDE1",3628,4549,4598,3426,3471
"118","REX1BD",2299,1639,1769,1591,1717
"119","CRLF1",2331,170,1300,318,89
"120","OSBPL7",698,267,284,272,489
"121","TMEM98",5972,6982,6256,5983,4493
"122","YBX2",0,0,0,2,0
"123","KRT33A",0,0,0,0,0
"124","MAP3K14",692,408,320,211,818
"125","ABCC8",10,0,0,0,0
"126","CACNG3",0,0,0,0,0
"127","TMEM132A",644,802,677,896,2195
"128","AP2B1",20371,14193,14634,13780,13412
"129","TAC1",0,0,130,4,2
"130","ZNF263",1843,1871,1793,1530,1832
"131","CX3CL1",0,0,0,0,0
"132","SPATA20",6625,6244,4974,5954,3422
"133","CACNA1G",43,398,105,106,6
"134","TNFRSF12A",29287,13021,15123,10480,17041
"135","DLX6",0,0,0,0,0
"136","MAP3K9",10,0,10,0,24
"137","RALA",8518,5837,6322,6351,7481
"138","BAIAP2L1",297,659,209,256,564
"139","KDM7A",559,920,543,676,615
"140","ETV1",2281,751,380,1404,312
"141","AGK",1719,1071,1046,900,1218
"142","ALDH3B1",6152,3811,3952,5089,4305
"143","TTC22",0,0,0,0,0
"144","PHTF2",5380,4692,4488,2810,3078
"145","CCL26",102,12,12,50,56
"146","FARP2",3698,2725,3128,3064,3511
"147","USH1C",0,0,0,0,0
"148","GGCT",637,538,523,602,617
"149","DBF4",1863,395,372,421,647
"150","TBXA2R",509,197,243,166,224
"151","IFRD1",3329,4374,4758,3378,3785
"152","LGALS14",0,0,0,0,0
"153","COX10",1083,872,722,626,822
"154","GTF2IRD1",1519,766,885,721,1047
"155","PAF1",5817,3964,3804,2985,3225
"156","VPS41",3432,5072,5300,3817,4453
"157","ARHGAP44",174,132,134,91,95
"158","ELAC2",5797,3445,3268,2591,3155
"159","SCIN",960,799,4674,2091,6769
"160","ARSD",1055,1040,820,968,925
"161","PNPLA4",566,764,924,528,323
"162","MYH13",0,3,0,2,0
"163","ADIPOR2",5721,5297,4683,4113,4820
"164","CDKL3",58,64,34,49,73
"165","UPP2",10,7,1,4,2
"166","PRSS21",0,0,2,2,2
"167","MARK4",2762,3134,2787,2036,2834
"168","PROM1",0,12,0,6,0
"169","CCDC124",5938,3824,3758,3333,5087
"170","CEACAM21",0,0,1,0,0
"171","PAFAH1B1",12125,11256,10185,8269,10090
"172","NOS2",0,0,2,0,0
"173","DNAH9",0,4,0,0,4
"174","KIAA0100",10250,10137,9894,7659,7555
"175","SLC13A2",0,0,0,0,0
"176","GAS7",1748,3804,850,1899,234
"177","TRAPPC6A",318,786,615,697,413
"178","MATK",0,0,0,2,0
"179","CEACAM7",0,0,0,0,0
"180","CD79B",0,0,0,8,0
"181","SCN4A",0,0,0,0,0
"182","ST7L",870,1137,673,829,767
"183","TKTL1",0,0,0,0,0
"184","PAX6",12,56,82,57,140
"185","RPUSD1",1779,1026,1301,867,1222
"186","RHBDF1",4313,5992,5485,4067,2942
"187","LUC7L",2907,2489,2201,2097,2056
"188","CACNA2D2",37,27,38,35,42
"189","BAIAP3",10,11,12,4,10
"190","TSR3",3900,2499,2527,2086,3023
"191","PIGQ",1686,1507,1306,1014,1219
"192","CRAMP1",874,823,530,620,550
"193","TEAD3",2511,3236,3131,2314,3877
"194","SELE",0,0,0,0,0
"195","DNAJC11",3109,2181,2035,1607,2337
"196","FMO3",2,2,8,0,0
"197","MYLIP",547,598,605,510,464
"198","NOX1",10,11,5,4,11
"199","E2F2",316,86,69,77,108
"200","PSMB1",9831,7228,7638,7772,8477
"201","SYN1",38,58,78,6,55
"202","JARID2",1167,814,548,796,859
"203","CDKL5",930,731,592,508,1044
"204","CAMK1G",223,2,30,6,30
"205","CDK11A",54,58,42,31,36
"206","NADK",5417,4538,3939,3132,3183
"207","TFAP2B",0,0,0,0,0
"208","TFAP2D",0,0,0,0,0
"209","DLEC1",6,20,24,10,9
"210","CYTH3",14661,10553,10909,6915,9365
"211","ADAM22",25,28,20,15,15
"212","SYPL1",8633,6213,5340,5195,4904
"213","CYB561",4075,1831,2022,2376,1912
"214","SPAG9",20519,9808,10553,9353,10760
"215","CELSR3",172,150,143,354,223
"216","AASS",799,1458,1079,856,880
"217","PLEKHG6",26,36,44,25,24
"218","SS18L2",835,717,582,508,630
"219","MPND",407,321,228,375,273
"220","MGST1",9874,12920,16661,11178,5477
"221","CRY1",1475,1167,933,822,1498
"222","PGLYRP1",13,8,6,2,10
"223","NFIX",34523,41260,28007,26620,19438
"224","ST3GAL1",7274,4836,2819,2960,6325
"225","MMP25",16,29,23,16,15
"226","IL32",48,225,200,199,161
"227","PKD1",11291,13474,10744,8305,8459
"228","MAPK8IP2",18,118,26,66,60
"229","MED24",3949,2862,2704,2341,2865
"230","RHOBTB2",1909,1012,1275,982,948
"231","HEATR5B",2493,1986,1792,1738,1771
"232","SEC62",9517,12536,10708,9667,9151
"233","RPS20",38044,39956,33757,30713,36832
"234","CSDE1",40451,41535,38368,32036,34162
"235","UBE3C",11838,7726,7622,6421,8281
"236","REV3L",6262,17199,4825,12685,4481
"237","TENM1",0,0,0,2,2
"238","PAX7",0,0,0,0,0
