hgnc_symbol,HH07,HH17,HH18,HH19,HH27
A1BG,44,24,20,14,27
A1BG-AS1,205,148,154,136,130
A1CF,1,4,0,0,0
A2M,68,62,595,188,18
A2M-AS1,10,33,33,11,4
A2ML1,0,7,0,2,4
A2ML1-AS1,0,0,0,0,0
A2ML1-AS2,1,1,0,0,0
A2MP1,0,0,2,0,0
A3GALT2,0,0,4,2,6
A4GALT,2259,2421,804,1258,525
A4GNT,17,16,25,2,4
AAAS,3314,2182,2200,1618,2121
AACS,2815,2144,1808,1612,1890
AACSP1,0,0,0,0,0
AADAC,0,0,4,0,0
AADACL2,0,0,0,0,0
AADACL2-AS1,0,0,2,0,1
AADACL3,0,0,0,0,0
AADACL4,0,27,2,5,0
AADACP1,0,4,2,0,0
AADAT,1138,620,750,617,930
AAGAB,2879,3221,2828,2672,2622
AAK1,5879,3747,4067,2860,4313
AAMDC,771,537,607,462,524
AAMP,6173,5621,5383,4426,4356
AANAT,0,2,4,0,4
AAR2,2321,2279,1851,1620,1858
AARD,5,610,16,0,4
AARS1,16742,17816,11969,12640,13491
AARS1P1,0,0,0,0,0
AARS2,1273,1294,1070,847,807
AARSD1,88,69,62,48,69
AASDH,741,734,571,568,483
AASDHPPT,1620,1940,1637,1343,1364
AASS,799,1458,1079,856,880
AATBC,31,25,14,27,18
AATF,3321,2560,2290,1793,2623
AATK,2,22,7,16,18
ABALON,55,48,39,26,31
ABAT,286,885,489,797,556
ABCA1,548,5507,2059,3106,1506
ABCA10,23,336,121,118,18
ABCA11P,68,55,61,39,38
ABCA12,16,16,12,0,9
ABCA13,6,28,511,4,12
ABCA17P,23,17,3,16,11
ABCA2,3355,4247,3948,2972,1924
ABCA3,48,114,46,16,50
ABCA4,30,44,53,15,14
ABCA5,381,2081,1085,1414,527
ABCA6,163,2106,1093,1135,10
ABCA7,189,301,550,221,142
ABCA8,182,2240,3539,685,0
ABCA9,75,1641,556,608,2
ABCA9-AS1,0,21,1,10,0
ABCB1,4,0,0,0,0
ABCB10,2213,1637,1539,1292,1289
ABCB10P1,10,0,4,2,2
ABCB10P3,2,0,0,0,0
ABCB10P4,13,0,0,2,0
ABCB11,0,0,0,0,0
ABCB4,73,64,62,50,312
ABCB5,0,0,2,0,2
ABCB6,85,95,56,60,88
ABCB7,986,919,733,741,895
ABCB8,2495,1924,1780,1497,1795
ABCB9,391,216,534,230,517
ABCC1,7085,7404,5838,5400,4748
ABCC10,2251,2111,2059,1773,1896
ABCC11,5,13,13,2,6
ABCC12,4,0,0,0,0
ABCC13,0,0,0,0,0
ABCC2,58,14,24,20,23
ABCC3,1049,2858,2145,1710,1279
ABCC4,2490,1725,2110,1805,2026
ABCC5,2761,3439,2879,2542,1907
ABCC5-AS1,0,2,0,1,0
ABCC6,16,40,39,25,14
ABCC6P1,2,2,6,0,0
ABCC6P2,14,18,14,14,15
ABCC8,10,0,0,0,0
ABCC9,1859,2214,764,3191,702
ABCD1,1276,1480,1504,1091,1214
ABCD1P2,0,0,0,0,0
ABCD1P3,0,0,0,0,0
ABCD1P4,0,0,0,0,0
ABCD1P5,0,0,0,0,0
ABCD2,8,0,0,0,0
ABCD3,3768,2196,2185,1989,2687
ABCD4,1518,1878,1559,1288,1176
ABCE1,6265,4279,4114,3456,4817
ABCF1,7702,6146,6084,4660,6431
ABCF2,1254,1021,996,690,777
ABCF2-H2BE1,0,0,0,0,0
ABCF2P1,0,2,0,2,0
ABCF2P2,0,0,0,0,0
ABCF3,3767,3841,3935,2708,2564
ABCG1,0,0,0,0,0
ABCG2,40,17,48,12,24
ABCG4,15,6,4,14,50
ABCG5,2,4,2,0,0
ABCG8,2,8,2,2,0
ABHD1,0,15,4,8,6
ABHD10,2262,1378,1465,1269,1697
ABHD11,1430,574,637,518,539
ABHD11-AS1,113,72,8,42,76
ABHD12,7117,4226,4685,2937,4377
ABHD12B,17,7,21,14,14
ABHD13,1232,1481,1172,937,1344
ABHD14A,172,182,105,183,127
ABHD14A-ACY1,6,2,3,0,1
ABHD14B,3024,2872,2919,2489,1415
ABHD15,544,784,737,577,491
ABHD15-AS1,0,0,0,0,0
ABHD16A,129,135,105,90,100
ABHD16B,0,0,0,0,0
ABHD17A,8634,7510,7095,6064,5858
ABHD17AP1,24,5,22,30,16
ABHD17AP3,6,6,0,2,4
ABHD17AP4,0,0,0,0,0
ABHD17AP5,10,2,4,2,2
ABHD17AP6,2,8,0,6,0
ABHD17AP7,0,0,0,0,0
ABHD17AP8,0,0,0,0,0
ABHD17AP9,0,0,0,0,0
ABHD17B,613,601,798,409,693
ABHD17C,1102,898,826,876,856
ABHD18,459,526,379,380,411
ABHD2,6142,3617,4534,3521,4050
ABHD3,393,308,230,248,245
ABHD4,2646,6151,6870,3222,3374
ABHD5,2806,2802,1802,2316,1268
ABHD6,368,296,302,284,353
ABHD8,229,753,462,373,368
ABI1,5357,4236,3673,3956,3804
ABI1P1,0,0,0,0,0
ABI2,4089,3149,2322,2374,2319
ABI3,58,2,4,4,31
ABI3BP,3131,5007,11422,3231,7023
ABITRAM,1160,1183,1300,1180,888
ABITRAMP1,0,0,0,0,0
ABL1,8820,13252,9240,8305,10142
ABL2,9133,6633,5840,5244,6238
ABLIM1,471,486,1248,133,1284
ABLIM2,0,8,4,5,0
ABLIM3,5256,1197,1871,1645,1633
ABO,0,0,0,0,0
ABR,5828,7248,5772,6323,4987
ABRA,0,0,0,0,0
ABRACL,1563,1109,1210,1130,1377
ABRAXAS1,1073,807,666,802,789
ABRAXAS2,1776,1642,1402,1233,1431
ABT1,2206,1570,1558,1267,1868
ABT1P1,0,0,0,0,0
