Geneid	HH07	HH17	HH18	HH19	HH27
ENSG00000223972.5	3	1	0	0	0
ENSG00000227232.5	227	203	244	167	160
ENSG00000278267.1	33	23	33	18	31
ENSG00000243485.5	0	6	0	0	0
ENSG00000284332.1	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0
ENSG00000238009.6	0	2	0	0	0
ENSG00000239945.1	0	0	0	0	0
ENSG00000233750.3	0	1	0	2	0
ENSG00000268903.1	2	0	0	0	0
ENSG00000269981.1	1	1	0	0	2
ENSG00000239906.1	0	0	0	0	0
ENSG00000241860.6	24	13	4	6	24
ENSG00000222623.1	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0
ENSG00000279928.2	6	1	0	0	0
ENSG00000279457.4	321	337	381	207	314
ENSG00000273874.1	1	7	4	0	1
ENSG00000228463.10	114	53	53	29	28
ENSG00000236679.2	3	3	0	0	5
ENSG00000236601.2	0	0	0	0	0
ENSG00000237094.12	21	21	9	29	34
ENSG00000269732.1	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0
ENSG00000233653.3	1	1	1	0	1
ENSG00000250575.1	1	3	0	2	3
ENSG00000278757.1	0	0	0	0	0
ENSG00000230021.10	12	14	7	10	10
ENSG00000235146.2	0	0	0	0	0
ENSG00000225972.1	24	24	46	3820	44
ENSG00000225630.1	117	30	90	78	70
ENSG00000237973.1	6721	6342	8319	4586	5876
ENSG00000278791.1	0	0	0	0	0
ENSG00000229344.1	407	339	352	204	358
ENSG00000240409.1	0	0	1	3	0
ENSG00000248527.1	9290	6921	8969	7706	6470
ENSG00000198744.5	320	280	356	269	228
ENSG00000268663.1	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0
ENSG00000229376.3	0	6	4	5	8
ENSG00000228327.3	201	163	108	127	163
ENSG00000223181.1	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0
ENSG00000237491.8	63	126	81	29	123
ENSG00000285268.1	0	0	0	0	0
ENSG00000230092.7	11	17	17	5	23
ENSG00000177757.2	66	29	25	25	17
ENSG00000228794.8	828	632	921	527	702
ENSG00000225880.5	46	83	52	28	43
ENSG00000230368.2	6	0	0	0	0
ENSG00000234711.1	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0
ENSG00000272438.1	99	1	0	2	1
ENSG00000230699.2	333	28	19	33	33
ENSG00000241180.1	1	1	0	1	0
ENSG00000223764.2	2145	845	449	542	175
ENSG00000187634.11	9298	371	424	515	551
ENSG00000188976.10	6942	3969	4222	3123	4744
ENSG00000187961.13	1743	870	707	842	792
ENSG00000187583.10	235	67	59	120	115
ENSG00000187642.9	71	18	29	36	16
ENSG00000272512.1	0	4	4	0	4
ENSG00000188290.10	76	299	158	50	238
ENSG00000187608.9	1208	1036	1188	1291	1364
ENSG00000231702.2	0	0	3	0	4
ENSG00000224969.1	10	1	3	4	1
ENSG00000188157.14	4512	8034	9536	7438	7559
ENSG00000242590.1	0	0	0	0	0
ENSG00000217801.9	5	15	9	2	7
ENSG00000273443.1	2	0	0	0	0
ENSG00000237330.2	0	0	0	0	0
ENSG00000131591.17	775	569	552	478	460
