	HH07	HH17	HH18	HH19	HH27
A1BG	36.2319185800902	22.1896538033751	20.6750585245397	16.6064997074913	28.5636247756445
A1BG-AS1	168.80780247542	136.836198454147	159.197950638956	161.320282872772	137.528563734585
A1CF	0.823452695002049	3.69827563389585	0	0	0
A2M	55.9947832601393	57.3232723253857	615.082991105057	223.001567500597	19.0424165170964
A2M-AS1	8.23452695002049	30.5107739796408	34.1138465654906	13.047964055886	4.2316481149103
A2ML1	0	6.47198235931774	0	2.37235710107018	4.2316481149103
A2MP1	0	0	2.06750585245397	0	0
A3GALT2	0	0	4.13501170490795	2.37235710107018	6.34747217236545
A4GALT	1860.17963800963	2238.38132741547	831.137352686498	1492.21261657314	555.403815081977
A4GNT	13.9986958150348	14.7931025355834	25.8438231556747	2.37235710107018	4.2316481149103
AA06	0	0	0	0	0
AAAS	2728.92223123679	2017.40935829019	2274.25643769937	1919.23689476578	2243.83141293119
AACS	2318.01933643077	1982.27573976818	1869.02529061839	1912.11982346256	1999.45373429512
AACSP1	0	0	0	0	0
AADAC	0	0	4.13501170490795	0	0
AADACL2	0	0	0	0	0
AADACL3	0	0	0	0	0
AADACL4	0	24.963360528797	2.06750585245397	5.93089275267545	0
AADACP1	0	3.69827563389585	2.06750585245397	0	0
AADAT	937.089166912332	573.232723253857	775.31469467024	731.87216568015	983.858186716645
AAGAB	2370.7203089109	2978.03645419464	2923.45327536992	3169.46908702976	2773.8453393237
AAK1	4841.07839391705	3464.35970005194	4204.27315096516	3392.47065453036	4562.77457990203
AAMDC	634.88202784658	496.493503850518	627.488026219781	548.014490347211	554.34590305325
AAMP	5083.17348624765	5197.00183453215	5564.69200187987	5250.02626466831	4608.26479713732
AANAT	0	1.84913781694793	4.13501170490795	0	4.2316481149103
AAR2	1911.23370509976	2107.09254241216	1913.47666644615	1921.60925186685	1965.60054937584
AARD	4.11726347501025	563.987034169118	16.5400468196318	0	4.2316481149103
AARS1	13786.2450197243	16472.1196733721	12372.9887740108	14993.2968787635	14272.2911795637
AARS2	1048.25528073761	1196.39216756531	1106.11563106288	1004.69323230322	853.735007183154
AARSD1	72.4638371601803	63.7952546847035	64.0926814260732	56.9365704256843	72.9959299822027
AASDH	610.178446996518	678.633578819889	590.27292087561	673.749416703931	510.971509875419
AASDHPPT	1333.99336590332	1793.66368243949	1692.25354023358	1593.03779336863	1442.99200718441
AASS	657.938703306637	1348.02146855504	1115.41940739892	1015.36883925804	930.962585280267
AATBC	25.5270335450635	23.1142227118491	14.4725409671778	32.0268208644474	19.0424165170964
AATF	2734.68640010181	2366.89640569335	2367.2942010598	2126.81814110942	2774.90325135243
AATK	1.6469053900041	20.3405159864272	7.23627048358891	18.9788568085614	19.0424165170964
ABALON	45.2898982251127	44.3793076067502	40.3163641228525	30.8406423139123	32.7952728905548
ABAT	235.507470770586	818.243483999458	505.505180924997	945.384304776466	588.199087972532
ABCA1	451.252076861123	5091.60097896612	2128.49727510137	3684.27057796199	1593.21551526373
ABCA10	18.9394119850471	310.655153247252	125.084104073465	139.969068963141	19.0424165170964
ABCA11P	55.9947832601393	50.851289966068	63.0589284998462	46.2609634708685	40.2006570916479
ABCA12	13.1752431200328	14.7931025355834	12.4050351147238	0	9.52120825854818
ABCA13	4.9407161700123	25.887929437271	528.24774530199	4.74471420214036	12.6949443447309
ABCA17P	18.9394119850471	15.7176714440574	3.10125877868096	18.9788568085614	11.6370323160033
ABCA2	2762.68379173187	3926.64415428892	4081.25655274415	3525.32265219029	2035.42274327186
ABCA3	39.5257293600984	105.400855566032	47.5526346064414	18.9788568085614	52.8956014363788
ABCA4	24.7035808500615	40.6810319728544	54.7889050900303	17.7926782580263	14.8107684021861
ABCA5	313.735476795781	1924.02789853432	1121.62192495628	1677.25647045662	557.519639139432
ABCA6	134.222789285334	1947.14212124617	1129.8919483661	1346.31265485733	10.5791202872758
ABCA7	155.632559355387	278.295241450663	568.564109424843	262.145459668255	150.223508079316
ABCA8	149.868390490373	2071.03435498168	3658.45160591731	812.532307116536	0
ABCA9	61.7589521251537	1517.21757880577	574.766626982205	721.196558725335	2.11582405745515
ABCA9-AS1	0	19.4159470779532	1.03375292622699	11.8617855053509	0
ABCB1	3.2938107800082	0	0	0	0
ABCB10	1822.30081403953	1513.51930317188	1590.94575346333	1532.54268729134	1363.64860502985
