Geneid,ensembl_gene_id,hgnc_symbol
ENSG00000008130.15,ENSG00000008130,NADK
ENSG00000010803.16,ENSG00000010803,SCMH1
ENSG00000011007.12,ENSG00000011007,ELOA
ENSG00000016602.9,ENSG00000016602,CLCA4
ENSG00000041988.15,ENSG00000041988,THAP3
ENSG00000048707.15,ENSG00000048707,VPS13D
ENSG00000049246.14,ENSG00000049246,PER3
ENSG00000050628.20,ENSG00000050628,PTGER3
ENSG00000053371.12,ENSG00000053371,AKR7A2
ENSG00000058673.16,ENSG00000058673,ZC3H11A
ENSG00000066136.20,ENSG00000066136,NFYC
ENSG00000067208.14,ENSG00000067208,EVI5
ENSG00000069812.11,ENSG00000069812,HES2
ENSG00000075151.20,ENSG00000075151,EIF4G3
ENSG00000076864.19,ENSG00000076864,RAP1GAP
ENSG00000077254.14,ENSG00000077254,USP33
ENSG00000081019.13,ENSG00000081019,RSBN1
ENSG00000081692.12,ENSG00000081692,JMJD4
ENSG00000081870.11,ENSG00000081870,HSPB11
ENSG00000084623.11,ENSG00000084623,EIF3I
ENSG00000085433.15,ENSG00000085433,WDR47
ENSG00000085831.15,ENSG00000085831,TTC39A
ENSG00000097021.19,ENSG00000097021,ACOT7
ENSG00000097033.14,ENSG00000097033,SH3GLB1
ENSG00000116191.17,ENSG00000116191,RALGPS2
ENSG00000116221.15,ENSG00000116221,MRPL37
ENSG00000116473.14,ENSG00000116473,RAP1A
ENSG00000116514.16,ENSG00000116514,RNF19B
ENSG00000116580.18,ENSG00000116580,GON4L
ENSG00000116652.6,ENSG00000116652,DLEU2L
ENSG00000116698.21,ENSG00000116698,SMG7
ENSG00000116721.9,ENSG00000116721,PRAMEF1
ENSG00000116731.22,ENSG00000116731,PRDM2
ENSG00000116748.21,ENSG00000116748,AMPD1
ENSG00000116750.13,ENSG00000116750,UCHL5
ENSG00000116754.13,ENSG00000116754,SRSF11
ENSG00000116852.14,ENSG00000116852,KIF21B
ENSG00000116871.15,ENSG00000116871,MAP7D1
ENSG00000116885.18,ENSG00000116885,OSCP1
ENSG00000116922.14,ENSG00000116922,C1orf109
ENSG00000116981.3,ENSG00000116981,NT5C1A
ENSG00000117143.13,ENSG00000117143,UAP1
ENSG00000117152.13,ENSG00000117152,RGS4
ENSG00000117155.16,ENSG00000117155,SSX2IP
ENSG00000117242.7,ENSG00000117242,PINK1-AS
ENSG00000117245.12,ENSG00000117245,KIF17
ENSG00000117266.15,ENSG00000117266,CDK18
ENSG00000117411.16,ENSG00000117411,B4GALT2
ENSG00000117448.13,ENSG00000117448,AKR1A1
ENSG00000117477.12,ENSG00000117477,CCDC181
ENSG00000117481.10,ENSG00000117481,NSUN4
ENSG00000117501.14,ENSG00000117501,MROH9
ENSG00000117507.6,ENSG00000117507,FMO6P
ENSG00000117523.16,ENSG00000117523,PRRC2C
ENSG00000117600.12,ENSG00000117600,PLPPR4
ENSG00000117601.13,ENSG00000117601,SERPINC1
ENSG00000117643.14,ENSG00000117643,MAN1C1
ENSG00000118200.14,ENSG00000118200,CAMSAP2
ENSG00000120333.4,ENSG00000120333,MRPS14
ENSG00000120334.15,ENSG00000120334,CENPL
ENSG00000120337.8,ENSG00000120337,TNFSF18
ENSG00000120341.18,ENSG00000120341,SEC16B
ENSG00000120952.4,ENSG00000120952,PRAMEF2
ENSG00000121753.12,ENSG00000121753,ADGRB2
ENSG00000121764.11,ENSG00000121764,HCRTR1
ENSG00000121903.14,ENSG00000121903,ZSCAN20
ENSG00000121904.17,ENSG00000121904,CSMD2
ENSG00000122417.15,ENSG00000122417,ODF2L
ENSG00000122483.17,ENSG00000122483,CCDC18
ENSG00000123472.12,ENSG00000123472,ATPAF1
ENSG00000127074.14,ENSG00000127074,RGS13
ENSG00000130695.15,ENSG00000130695,CEP85
ENSG00000131591.17,ENSG00000131591,C1orf159
ENSG00000132128.16,ENSG00000132128,LRRC41
ENSG00000132693.12,ENSG00000132693,CRP
ENSG00000133056.13,ENSG00000133056,PIK3C2B
ENSG00000133067.17,ENSG00000133067,LGR6
ENSG00000133216.16,ENSG00000133216,EPHB2
ENSG00000134222.16,ENSG00000134222,PSRC1
ENSG00000134248.13,ENSG00000134248,LAMTOR5
ENSG00000134256.12,ENSG00000134256,CD101
ENSG00000134365.13,ENSG00000134365,CFHR4
ENSG00000134369.15,ENSG00000134369,NAV1
ENSG00000134668.12,ENSG00000134668,SPOCD1
ENSG00000134686.18,ENSG00000134686,PHC2
ENSG00000135824.12,ENSG00000135824,RGS8
ENSG00000135828.11,ENSG00000135828,RNASEL
ENSG00000135838.13,ENSG00000135838,NPL
ENSG00000137942.16,ENSG00000137942,FNBP1L
ENSG00000137948.18,ENSG00000137948,BRDT
ENSG00000137968.16,ENSG00000137968,SLC44A5
ENSG00000137970.7,ENSG00000137970,RPL7P9
ENSG00000137976.7,ENSG00000137976,DNASE2B
ENSG00000137992.14,ENSG00000137992,DBT
ENSG00000142609.18,ENSG00000142609,CFAP74
ENSG00000142619.4,ENSG00000142619,PADI3
ENSG00000142621.19,ENSG00000142621,FHAD1
ENSG00000142676.14,ENSG00000142676,RPL11
ENSG00000142694.6,ENSG00000142694,EVA1B
ENSG00000142794.18,ENSG00000142794,NBPF3
ENSG00000142864.14,ENSG00000142864,SERBP1
ENSG00000142875.19,ENSG00000142875,PRKACB
ENSG00000142961.14,ENSG00000142961,MOB3C
ENSG00000143006.7,ENSG00000143006,DMRTB1
ENSG00000143105.7,ENSG00000143105,KCNA10
ENSG00000143110.11,ENSG00000143110,C1orf162
ENSG00000143147.14,ENSG00000143147,GPR161
ENSG00000143149.12,ENSG00000143149,ALDH9A1
ENSG00000143164.15,ENSG00000143164,DCAF6
ENSG00000143314.12,ENSG00000143314,MRPL24
ENSG00000143337.18,ENSG00000143337,TOR1AIP1
ENSG00000143340.6,ENSG00000143340,FAM163A
ENSG00000143379.12,ENSG00000143379,SETDB1
ENSG00000143390.17,ENSG00000143390,RFX5
ENSG00000143393.16,ENSG00000143393,PI4KB
ENSG00000143409.15,ENSG00000143409,MINDY1
ENSG00000143494.15,ENSG00000143494,VASH2
ENSG00000143520.6,ENSG00000143520,FLG2
ENSG00000143536.7,ENSG00000143536,CRNN
ENSG00000143552.9,ENSG00000143552,NUP210L
ENSG00000143627.19,ENSG00000143627,PKLR
ENSG00000143740.14,ENSG00000143740,SNAP47
ENSG00000143772.9,ENSG00000143772,ITPKB
ENSG00000143774.16,ENSG00000143774,GUK1
ENSG00000143776.18,ENSG00000143776,CDC42BPA
ENSG00000143819.12,ENSG00000143819,EPHX1
ENSG00000143847.15,ENSG00000143847,PPFIA4
ENSG00000143851.15,ENSG00000143851,PTPN7
ENSG00000150337.13,ENSG00000150337,FCGR1A
ENSG00000150732.8,ENSG00000150732,
ENSG00000152061.23,ENSG00000152061,RABGAP1L
ENSG00000153029.14,ENSG00000153029,MR1
ENSG00000153923.10,ENSG00000153923,CLCA3P
ENSG00000154198.14,ENSG00000154198,CYP4Z2P
ENSG00000154222.14,ENSG00000154222,CC2D1B
ENSG00000154380.17,ENSG00000154380,ENAH
ENSG00000154451.14,ENSG00000154451,GBP5
ENSG00000155363.18,ENSG00000155363,MOV10
ENSG00000155367.15,ENSG00000155367,PPM1J
ENSG00000156097.12,ENSG00000156097,GPR61
ENSG00000156171.14,ENSG00000156171,DRAM2
ENSG00000157077.14,ENSG00000157077,ZFYVE9
ENSG00000157211.11,ENSG00000157211,CDCP2
ENSG00000157216.15,ENSG00000157216,SSBP3
ENSG00000157873.17,ENSG00000157873,TNFRSF14
ENSG00000158062.20,ENSG00000158062,UBXN11
ENSG00000158731.2,ENSG00000158731,OR10J6P
ENSG00000158773.14,ENSG00000158773,USF1
ENSG00000158816.15,ENSG00000158816,VWA5B1
ENSG00000158864.12,ENSG00000158864,NDUFS2
ENSG00000158874.11,ENSG00000158874,APOA2
ENSG00000159023.21,ENSG00000159023,EPB41
ENSG00000159339.13,ENSG00000159339,PADI4
ENSG00000159450.12,ENSG00000159450,TCHH
ENSG00000159527.3,ENSG00000159527,PGLYRP3
ENSG00000160685.13,ENSG00000160685,ZBTB7B
ENSG00000160766.14,ENSG00000160766,GBAP1
ENSG00000160783.19,ENSG00000160783,PMF1
ENSG00000160785.13,ENSG00000160785,SLC25A44
ENSG00000162367.11,ENSG00000162367,TAL1
ENSG00000162368.13,ENSG00000162368,CMPK1
ENSG00000162390.17,ENSG00000162390,ACOT11
ENSG00000162398.11,ENSG00000162398,LEXM
ENSG00000162413.16,ENSG00000162413,KLHL21
ENSG00000162419.12,ENSG00000162419,GMEB1
ENSG00000162437.14,ENSG00000162437,RAVER2
ENSG00000162493.16,ENSG00000162493,PDPN
ENSG00000162542.13,ENSG00000162542,TMCO4
ENSG00000162598.13,ENSG00000162598,C1orf87
ENSG00000162604.12,ENSG00000162604,TM2D1
ENSG00000162621.6,ENSG00000162621,LRRC53
ENSG00000162624.14,ENSG00000162624,LHX8
ENSG00000162631.18,ENSG00000162631,NTNG1
ENSG00000162650.16,ENSG00000162650,ATXN7L2
ENSG00000162699.5,ENSG00000162699,DNAJA1P5
ENSG00000162745.10,ENSG00000162745,OLFML2B
ENSG00000162746.14,ENSG00000162746,FCRLB
ENSG00000162757.4,ENSG00000162757,C1orf74
ENSG00000162761.14,ENSG00000162761,LMX1A
ENSG00000162825.16,ENSG00000162825,NBPF20
ENSG00000162888.4,ENSG00000162888,C1orf147
ENSG00000162891.10,ENSG00000162891,IL20
ENSG00000163125.15,ENSG00000163125,RPRD2
ENSG00000163239.12,ENSG00000163239,TDRD10
ENSG00000163352.5,ENSG00000163352,LENEP
ENSG00000163374.19,ENSG00000163374,YY1AP1
ENSG00000163531.15,ENSG00000163531,NFASC
ENSG00000163565.18,ENSG00000163565,IFI16
ENSG00000164002.11,ENSG00000164002,EXO5
ENSG00000169231.13,ENSG00000169231,THBS3
ENSG00000169474.4,ENSG00000169474,SPRR1A
ENSG00000169641.13,ENSG00000169641,LUZP1
ENSG00000169905.12,ENSG00000169905,TOR1AIP2
