"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AARD",117.775198515734,1.67432190519966,0.491261133504775,4.33982155040116,1.42598467162361e-05,0.00266523325529651
"2","ABCA13",115.303209891229,2.0656514612853,0.515562783025132,4.28436560345749,1.83261346160224e-05,0.00326954901672218
"3","ACP5",192.222321756282,-2.24375975709511,0.446424496348479,-5.07652794891379,3.84394278102486e-07,0.000158815530689711
"4","ADCY4",901.056005683829,3.31927807815693,0.395650191219467,8.33809126797106,7.54992927515053e-17,3.95112965399544e-13
"5","AFMID",498.32086751356,-0.952245709607455,0.250955225430405,-3.7939119155716,0.000148292299106859,0.0158380210610727
"6","AGL",1712.74942381129,0.603568180723061,0.170361694085845,3.54281587280417,0.000395879003817162,0.0339633899449696
"7","ALDH1A1",440.429110878051,2.63387984045231,0.482532043134397,5.40674526357196,6.41803213242073e-08,3.47458980962088e-05
"8","ANKH",3488.42084047782,1.00899904997459,0.277510516872289,3.63437685571906,0.000278653310650971,0.0257344528071779
"9","ANKRD2",60.4324171432112,-2.5153683675115,0.46984862306851,-5.2741937236692,1.33340999058105e-07,6.34379904609771e-05
"10","ANKRD36B",302.714900975093,-0.768887248000515,0.213017074107948,-3.60802613588832,0.000308535415391884,0.0281628257072825
"11","ANKRD44",813.446945861353,0.702980458373556,0.198824257069161,3.53557937647241,0.000406881985731967,0.034717647695608
"12","ANXA3",271.250286225178,1.57025316596266,0.388216176046516,4.03253254043557,5.51789715244892e-05,0.00752768416871227
"13","AP1G2",385.03000255711,1.25163268478861,0.295827894444777,4.22802214729024,2.35754590362337e-05,0.00385556986321738
"14","ARFGEF3",59.6869700580092,1.87035299069895,0.517119551200082,3.72018603246745,0.000199076085367383,0.0201644809049543
"15","ARHGAP20",421.890237518118,1.78309034176873,0.503425757943988,3.50302632130833,0.000460004005086241,0.0384152280843297
"16","ARMH4",1159.1358200876,-1.03773067730943,0.299478312072227,-3.46686759099601,0.000526561205225069,0.0413350546101679
"17","AVPI1",1701.18292294575,0.95651064367667,0.246954704095525,3.87236849936858,0.000107782830387728,0.0121593793575436
"18","BAALC",1956.73387414259,-1.60291826445467,0.403729127632358,-3.99224364867426,6.54510719526368e-05,0.00842280188242949
"19","BCHE",137.237088449127,2.08836766628689,0.520181735530991,4.06443881140879,4.81481676074712e-05,0.00674934135211873
"20","C12orf75",24533.1034722679,-1.26077532565796,0.325221875079196,-3.88165965238758,0.000103746007448733,0.0118891409995993
"21","C5orf17",110.567117317846,2.89453960110837,0.441324417758485,6.46359664888758,1.0224318082292e-10,1.45928903538168e-07
"22","C8orf34",180.266872772462,2.04003873432801,0.401929924026511,5.05113775330311,4.3918618734378e-07,0.000172380578532434
"23","CA12",5714.49704498041,-1.22463533751205,0.298414008678787,-4.10694605367596,4.00924819601945e-05,0.00582837593123323
"24","CACNB4",265.549079652357,3.09695999848325,0.479660071844284,6.3927433513338,1.62935618674382e-10,2.13174101098983e-07
"25","CADPS",455.992536513725,-1.95404136227097,0.517157214574974,-4.27108538772226,1.94523904664126e-05,0.00334633143246576
"26","CATSPER1",54.3485813286701,-1.79605698916784,0.469785176992466,-3.83198896258043,0.000127111443336122,0.0138586781970633
"27","CBR3",272.895230272223,-0.976468617402617,0.268104476352559,-3.6401454782488,0.00027248404502732,0.0253136065498753
"28","CCL26",45.2088076084238,-2.02543112179209,0.406657750226075,-4.87593856194498,1.08292312325338e-06,0.000346977408879146
"29","CCN2",52378.444333864,1.61827620818899,0.169051799850605,9.57186291867709,1.04996436676912e-21,8.24222027913762e-18
"30","CCN3",2031.78716156216,1.47523012371129,0.396422730086469,3.70985057262198,0.000207381611522198,0.0207381611522198
"31","CCND2",92.1788134100722,3.02468740663478,0.482371118843352,6.15315556066044,7.59562351389911e-10,8.33738216456344e-07
"32","CCNYL1",2047.60110837128,0.742598955680427,0.201589270957689,3.68347635487853,0.000230074634495226,0.0227180613935538
"33","CD109",27668.2111762079,-0.76121500643242,0.168211446795966,-4.52549980673431,6.02529365206009e-06,0.00133235366672315
"34","CD36",533.897288455245,2.76451723820108,0.515402158081802,5.4290347161004,5.66596629959251e-08,3.17698824655723e-05
"35","CD40",127.759988555321,-2.00272944483476,0.504016818582411,-4.17459545460371,2.98516036806867e-05,0.00455019590084254
"36","CDCA7",385.276032313692,-1.60675622517417,0.423092274373599,-3.8211886015537,0.000132810034282328,0.0143801209533279
"37","CDCP1",277.0820842929,-1.40356698869507,0.331012654401086,-4.24011911380872,2.23401208055888e-05,0.00369199891208151
"38","CDIP1",1329.34962896133,-0.69644268369274,0.184735192192415,-3.76974769265092,0.000163412661635195,0.0172186495816951
"39","CDK15",792.853673169382,-1.55175484774692,0.263738972140145,-5.88277670628542,4.03440056966252e-09,3.95875555898135e-06
"40","CEP83",616.302626384317,-0.938918628270317,0.202639149466672,-4.63224676288547,3.61718649059253e-06,0.000887341060973479
"41","CGB8",41.8381220961029,-2.1218368088587,0.520130052252986,-4.10559571892897,4.03274248909951e-05,0.00582837593123323
"42","CHRM2",818.889145142062,-1.79465219959797,0.492311417243865,-3.7782640437417,0.00015792538664503,0.0167528957454525
"43","CHST2",1164.87083034186,0.818096500524972,0.219175617830844,3.73220684283047,0.000189809537620232,0.0194771878473049
"44","CMKLR1",135.185678836564,1.77004793355355,0.52005105213094,3.41083418916411,0.000647644632620583,0.0471886159517275
"45","CNTNAP2",102.415524420651,1.30847818417136,0.468834826939462,3.65982541269908,0.000252387147491222,0.0240855542454054
"46","CSMD2",2094.04852855968,-1.40108469213437,0.357409980828407,-3.92869734765847,8.54072462726509e-05,0.0104757325506298
"47","CUBN",327.838082288235,-1.80966525982356,0.367506113907771,-4.93029724763026,8.21045913539907e-07,0.000280226540056012
"48","CXCL14",82.1584321277883,-2.13245021834483,0.509708762520215,-4.43260622116548,9.31008097000684e-06,0.00192326672669878
"49","CXCL8",87.7481311779061,-1.99065101307527,0.470110338766474,-4.27464034591612,1.91446080612407e-05,0.00334163372959437
"50","DES",318.584759639989,-2.19585113750395,0.518324025379378,-5.05482684186862,4.30781433385747e-07,0.000172380578532434
"51","DIO2",1749.35971401575,1.91776371313236,0.520174777484949,3.71310271184869,0.000204733747921151,0.0206046143741159
"52","DIRAS2",174.102707844506,1.86279369179377,0.510291281411982,3.98037190484176,6.88075345858749e-05,0.00878275034957915
"53","DMD",487.845517683526,2.55018861505399,0.445337819346689,5.68081344714762,1.34055632504321e-08,9.15075404486014e-06
"54","DOK5",1295.98310340106,1.41233518929562,0.395067845330736,3.56436039911237,0.000364744512072716,0.0318138268863424
"55","DPF3",295.751746830628,-0.990246418404628,0.203834110919106,-4.85454091332217,1.20665956588954e-06,0.000378891103689315
"56","DRAM1",11372.1072563394,1.4057268088259,0.410741783841577,3.41017504300457,0.000649211977881387,0.0471886159517275
"57","DTD2",1008.00865550487,0.58931280701168,0.158235836032391,3.72428896028967,0.000195866480692912,0.0199682061485631
"58","EDNRB",93.5274036062212,1.80525648222639,0.505409154078675,4.00484695903705,6.20576448452773e-05,0.00825682223788859
"59","EFNA5",554.544761160172,1.6473342265774,0.407116013050162,4.03066800142276,5.56185581892116e-05,0.00752768416871227
"60","ELFN1",713.922048416808,-1.53801593069312,0.422626279060836,-3.66342801196614,0.000248862180227319,0.0239701609176006
"61","EPDR1",391.898403229775,2.39161406954224,0.493467460346647,4.798213768064,1.60086873531037e-06,0.000433338605937463
"62","ERBB4",19.1394900444199,2.74412753032657,0.51930353553354,4.55978597050285,5.12057826127695e-06,0.0011484725528864
"63","ETS2",2018.14339387936,-1.8566319835436,0.38142823445555,-4.88919373958907,1.01249810765967e-06,0.000331171256047018
"64","EXPH5",148.308033341891,2.24135146194767,0.5195987306113,4.35068145036018,1.35715094885398e-05,0.00256714095144669
"65","FGF10",18.7878015083333,2.43902749647157,0.513081209903797,4.51484914474886,6.33618529974115e-06,0.001381640405638
"66","FIBCD1",316.233316507492,-1.88125829133825,0.518683943825948,-4.13590539113343,3.5355784530552e-05,0.00523665865216666
"67","FLRT2",7509.71708025056,0.780475417136975,0.217013625793172,3.59603022288844,0.000323110276888082,0.0293227245499589
